dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,0,0,0,NA,NA,7,0.01,NA,NA
18289,7,0,0,0,NA,NA,7,0.01,NA,NA
18290,8,0,0,0,NA,NA,7,0.01,NA,NA
18291,9,0,0,0,NA,NA,7,0.01,NA,NA
18292,10,0,0,0,NA,NA,7,0.01,NA,NA
18293,11,0,0,0,NA,NA,7,0.01,NA,NA
18294,12,0,0,0,NA,NA,7,0.01,NA,NA
18295,13,0,0,0,NA,NA,7,0.01,NA,NA
18296,14,0,0,0,NA,NA,7,0.01,NA,NA
18297,15,0,0,0,0,0,7,0.01,0,0
18298,16,0,0,0,0,0,7,0.01,0,0
18299,17,0,0,0,0,0,7,0.01,0,0
18300,18,0,0,0,0,0,7,0.01,0,0
18301,19,0,0,0,0,0,7,0.01,0,0
18302,20,0,0,0,0,0,7,0.01,0,0
18303,21,0,0,0,0,0,7,0.01,0,0
18304,22,0,0,0,0,0,7,0.01,0,0
18305,23,0,0,0,0,0,7,0.01,0,0
18306,24,0,0,0,0,0,7,0.01,0,0
18307,25,0,0,0,0,0,7,0.01,0,0
18308,26,0,0,0,0,0,7,0.01,0,0
18309,27,0,0,0,0,0,7,0.01,0,0
18310,28,0,0,0,0,0,7,0.01,0,0
18311,29,0,0,0,0,0,7,0.01,0,0
18312,30,0,0,0,0,0,7,0.01,0,0
18313,31,0,0,0,0,0,7,0.01,0,0
18314,32,0,0,0,0,0,7,0.01,0,0
18315,33,0,0,0,0,0,7,0.01,0,0
18316,34,0,0,0,0,0,7,0.01,0,0
18317,35,0,0,0,0,0,7,0.01,0,0
18318,36,0,0,0,0,0,7,0.01,0,0
18319,37,0,0,0,0,0,7,0.01,0,0
18320,38,0,0,0,0,0,7,0.01,0,0
18321,39,0,0,0,0,0,7,0.01,0,0
18322,40,0,0,0,0,0,7,0.01,0,0
18323,41,0,0,0,0,0,7,0.01,0,0
18324,42,0,0,0,0,0,7,0.01,0,0
18325,43,Inf,0.285714285714286,1,0,0,7,0.01,0,0
18326,44,0.290994448735806,0.285714285714286,1,0,0,7,0.01,0,0
18327,45,0.0954451150103322,0.285714285714286,1,0,0,7,0.01,0,0
18328,46,0.414213562373095,0.571428571428571,1,0,0,7,0.01,0,0
18329,47,0.613743060919757,1,1,0,0,7,0.01,0,0
18330,48,0.3114877048604,1.28571428571429,1,0,0,7,0.01,0,0
18331,49,0.0207156632070848,1.28571428571429,1,0,0,7,0.01,0,0
18332,50,0.114033854320159,1.57142857142857,1,0.142857142857143,0,7,0.01,0.027027027027027,0
18333,51,-0.0498012324562157,1.57142857142857,0,0.25,0,7,0.01,0.0526315789473684,0
18334,52,0.165575281589221,2.42857142857143,1,0.333333333333333,0,7,0.01,0.0769230769230769,0
18335,53,0.636282174577084,3.71428571428571,1,0.4,0,7,0.01,0.1,0
18336,54,0.120846964999469,3.57142857142857,1,0.454545454545455,0,7,0.01,0.121951219512195,0
18337,55,0.153063468250307,4.28571428571429,1,0.5,0,7,0.01,0.142857142857143,0
18338,56,0.276521913921305,5.85714285714286,1,0.538461538461538,0,7,0.01,0.162790697674419,0
18339,57,0.116368069229847,6.42857142857143,1,0.571428571428571,0,7,0.01,0.181818181818182,0
18340,58,0.256259141785214,8.57142857142857,1,0.6,0,8,0.01,0.2,0
18341,59,0.093619254840565,9.42857142857143,1,0.625,0,8,0.01,0.217391304347826,0
18342,60,0.0695601286952507,10.4285714285714,1,0.647058823529412,0,8,0.01,0.234042553191489,0
18343,61,0.314160326846696,14.1428571428571,1,0.666666666666667,0,8,0.01,0.25,0
18344,62,0.319156730180916,18.2857142857143,1,0.684210526315789,0,8,0.01,0.26530612244898,0
