dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,0,0,0,NA,NA,7,0.01,NA,NA
18289,7,0,0,0,NA,NA,7,0.01,NA,NA
18290,8,0,0,0,NA,NA,7,0.01,NA,NA
18291,9,0,0,0,NA,NA,7,0.01,NA,NA
18292,10,0,0,0,NA,NA,7,0.01,NA,NA
18293,11,0,0,0,NA,NA,7,0.01,NA,NA
18294,12,0,0,0,NA,NA,7,0.01,NA,NA
18295,13,0,0,0,NA,NA,7,0.01,NA,NA
18296,14,0,0,0,NA,NA,7,0.01,NA,NA
18297,15,0,0,0,0,0,7,0.01,0,0
18298,16,0,0,0,0,0,7,0.01,0,0
18299,17,0,0,0,0,0,7,0.01,0,0
18300,18,0,0,0,0,0,7,0.01,0,0
18301,19,0,0,0,0,0,7,0.01,0,0
18302,20,0,0,0,0,0,7,0.01,0,0
18303,21,0,0,0,0,0,7,0.01,0,0
18304,22,0,0,0,0,0,7,0.01,0,0
18305,23,0,0,0,0,0,7,0.01,0,0
18306,24,0,0,0,0,0,7,0.01,0,0
18307,25,0,0,0,0,0,7,0.01,0,0
18308,26,0,0,0,0,0,7,0.01,0,0
18309,27,0,0,0,0,0,7,0.01,0,0
18310,28,0,0,0,0,0,7,0.01,0,0
18311,29,0,0,0,0,0,7,0.01,0,0
18312,30,0,0,0,0,0,7,0.01,0,0
18313,31,0,0,0,0,0,7,0.01,0,0
18314,32,0,0,0,0,0,7,0.01,0,0
18315,33,0,0,0,0,0,7,0.01,0,0
18316,34,0,0,0,0,0,7,0.01,0,0
18317,35,0,0,0,0,0,7,0.01,0,0
18318,36,0,0,0,0,0,7,0.01,0,0
18319,37,0,0,0,0,0,7,0.01,0,0
18320,38,0,0,0,0,0,7,0.01,0,0
18321,39,0,0,0,0,0,7,0.01,0,0
18322,40,0,0,0,0,0,7,0.01,0,0
18323,41,0,0,0,0,0,7,0.01,0,0
18324,42,0,0,0,0,0,7,0.01,0,0
18325,43,0,0,0,0,0,7,0.01,0,0
18326,44,0,0,0,0,0,7,0.01,0,0
18327,45,0,0,0,0,0,7,0.01,0,0
18328,46,0,0,0,0,0,7,0.01,0,0
18329,47,0,0,0,0,0,7,0.01,0,0
18330,48,0,0,0,0,0,7,0.01,0,0
18331,49,0,0,0,0,0,7,0.01,0,0
18332,50,Inf,0.142857142857143,1,0,0,7,0.01,0,0
18333,51,0.290994448735806,0.142857142857143,1,0,0,7,0.01,0,0
18334,52,0.0954451150103322,0.142857142857143,1,0,0,7,0.01,0,0
18335,53,0,0.142857142857143,0,0,0,7,0.01,0,0
18336,54,-0.0871290708247231,0.142857142857143,0,0,0,7,0.01,0,0
18337,55,-0.225403330758517,0.142857142857143,0,0,0,7,0.01,0,0
18338,56,3,0.714285714285714,1,0,0,7,0.01,0,0
18339,57,0.290994448735805,0.714285714285714,1,0.142857142857143,0,7,0.01,0.0227272727272727,0
18340,58,0.462019151721345,1.14285714285714,1,0.25,0,7,0.01,0.0444444444444444,0
18341,59,0.116070802004837,1.14285714285714,1,0.333333333333333,0,7,0.01,0.0652173913043478,0
18342,60,0.365030898008534,1.85714285714286,1,0.4,0,8,0.01,0.0851063829787234,0
18343,61,0.141503527384082,1.85714285714286,1,0.454545454545454,0,10,0.01,0.104166666666667,0
18344,62,0.508938882700071,3.42857142857143,1,0.5,0,12,0.01,0.122448979591837,0
18345,63,1.66045012184506,9.71428571428571,1,0.538461538461539,0,12,0.01,0.14,0
18346,64,0.352554419504058,10.5714285714286,1,0.571428571428571,0,12,0.01,0.156862745098039,0
18347,65,0.237373804039494,12.4285714285714,1,0.6,0,12,0.01,0.173076923076923,0
18348,66,0.133890050535494,13.1428571428571,1,0.625,0,12,0.01,0.188679245283019,0
