dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,0,0,0,NA,NA,7,0.01,NA,NA
18289,7,0,0,0,NA,NA,7,0.01,NA,NA
18290,8,0,0,0,NA,NA,7,0.01,NA,NA
18291,9,0,0,0,NA,NA,7,0.01,NA,NA
18292,10,0,0,0,NA,NA,7,0.01,NA,NA
18293,11,0,0,0,NA,NA,7,0.01,NA,NA
18294,12,0,0,0,NA,NA,7,0.01,NA,NA
18295,13,0,0,0,NA,NA,7,0.01,NA,NA
18296,14,0,0,0,NA,NA,7,0.01,NA,NA
18297,15,0,0,0,0,0,7,0.01,0,0
18298,16,0,0,0,0,0,7,0.01,0,0
18299,17,0,0,0,0,0,7,0.01,0,0
18300,18,0,0,0,0,0,7,0.01,0,0
18301,19,0,0,0,0,0,7,0.01,0,0
18302,20,0,0,0,0,0,7,0.01,0,0
18303,21,0,0,0,0,0,7,0.01,0,0
18304,22,0,0,0,0,0,7,0.01,0,0
18305,23,0,0,0,0,0,7,0.01,0,0
18306,24,0,0,0,0,0,7,0.01,0,0
18307,25,0,0,0,0,0,7,0.01,0,0
18308,26,0,0,0,0,0,7,0.01,0,0
18309,27,0,0,0,0,0,7,0.01,0,0
18310,28,0,0,0,0,0,7,0.01,0,0
18311,29,0,0,0,0,0,7,0.01,0,0
18312,30,0,0,0,0,0,7,0.01,0,0
18313,31,0,0,0,0,0,7,0.01,0,0
18314,32,0,0,0,0,0,7,0.01,0,0
18315,33,0,0,0,0,0,7,0.01,0,0
18316,34,0,0,0,0,0,7,0.01,0,0
18317,35,0,0,0,0,0,7,0.01,0,0
18318,36,0,0,0,0,0,7,0.01,0,0
18319,37,0,0,0,0,0,7,0.01,0,0
18320,38,0,0,0,0,0,7,0.01,0,0
18321,39,0,0,0,0,0,7,0.01,0,0
18322,40,0,0,0,0,0,7,0.01,0,0
18323,41,0,0,0,0,0,7,0.01,0,0
18324,42,0,0,0,0,0,7,0.01,0,0
18325,43,0,0,0,0,0,7,0.01,0,0
18326,44,0,0,0,0,0,7,0.01,0,0
18327,45,0,0,0,0,0,7,0.01,0,0
18328,46,0,0,0,0,0,7,0.01,0,0
18329,47,0,0,0,0,0,7,0.01,0,0
18330,48,0,0,0,0,0,7,0.01,0,0
18331,49,0,0,0,0,0,7,0.01,0,0
18332,50,0,0,0,0,0,7,0.01,0,0
18333,51,0,0,0,0,0,7,0.01,0,0
18334,52,0,0,0,0,0,7,0.01,0,0
18335,53,Inf,0.285714285714286,1,0,0,7,0.01,0,0
18336,54,1.53311402559511,0.714285714285714,1,0,0,7,0.01,0,0
18337,55,1.53033543282257,1.85714285714286,1,0,0,7,0.01,0,0
18338,56,0.381565094207822,2.28571428571429,1,0,0,7,0.01,0,0
18339,57,0.193321835544837,2.71428571428571,1,0,0,7,0.01,0,0
18340,58,0.0366421106976322,2.85714285714286,1,0,0,7,0.01,0,0
18341,59,-0.0917048937707525,3,0,0,0,7,0.01,0,0
18342,60,-0.206507952384128,3.14285714285714,0,0.142857142857143,0,7,0.01,0.0212765957446809,0
18343,61,-0.296684703410261,3.71428571428571,0,0.25,0,7,0.01,0.0416666666666667,0
18344,62,-0.274033728726309,2.85714285714286,0,0.333333333333333,0,7,0.01,0.0612244897959184,0
18345,63,2.02976685233157,6.42857142857143,1,0.4,0,7,0.01,0.08,0
18346,64,0.220174911905034,6.28571428571429,1,0.454545454545455,0,7,0.01,0.0980392156862745,0
18347,65,0.186224875776066,7.28571428571429,1,0.5,0,7,0.01,0.115384615384615,0
18348,66,0.289156794120865,9.28571428571429,1,0.538461538461539,0,9,0.01,0.132075471698113,0
18349,67,0.101823385760107,9.14285714285714,1,0.571428571428572,0,11,0.01,0.148148148148148,0
