dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,0,0,0,NA,NA,7,0.01,NA,NA
18289,7,0,0,0,NA,NA,7,0.01,NA,NA
18290,8,0,0,0,NA,NA,7,0.01,NA,NA
18291,9,0,0,0,NA,NA,7,0.01,NA,NA
18292,10,0,0,0,NA,NA,7,0.01,NA,NA
18293,11,0,0,0,NA,NA,7,0.01,NA,NA
18294,12,0,0,0,NA,NA,7,0.01,NA,NA
18295,13,0,0,0,NA,NA,7,0.01,NA,NA
18296,14,0,0,0,NA,NA,7,0.01,NA,NA
18297,15,0,0,0,0,0,7,0.01,0,0
18298,16,0,0,0,0,0,7,0.01,0,0
18299,17,0,0,0,0,0,7,0.01,0,0
18300,18,0,0,0,0,0,7,0.01,0,0
18301,19,0,0,0,0,0,7,0.01,0,0
18302,20,0,0,0,0,0,7,0.01,0,0
18303,21,0,0,0,0,0,7,0.01,0,0
18304,22,0,0,0,0,0,7,0.01,0,0
18305,23,0,0,0,0,0,7,0.01,0,0
18306,24,0,0,0,0,0,7,0.01,0,0
18307,25,0,0,0,0,0,7,0.01,0,0
18308,26,0,0,0,0,0,7,0.01,0,0
18309,27,0,0,0,0,0,7,0.01,0,0
18310,28,0,0,0,0,0,7,0.01,0,0
18311,29,0,0,0,0,0,7,0.01,0,0
18312,30,0,0,0,0,0,7,0.01,0,0
18313,31,0,0,0,0,0,7,0.01,0,0
18314,32,0,0,0,0,0,7,0.01,0,0
18315,33,0,0,0,0,0,7,0.01,0,0
18316,34,0,0,0,0,0,7,0.01,0,0
18317,35,0,0,0,0,0,7,0.01,0,0
18318,36,0,0,0,0,0,7,0.01,0,0
18319,37,0,0,0,0,0,7,0.01,0,0
18320,38,0,0,0,0,0,7,0.01,0,0
18321,39,0,0,0,0,0,7,0.01,0,0
18322,40,0,0,0,0,0,7,0.01,0,0
18323,41,Inf,0.142857142857143,1,0,0,7,0.01,0,0
18324,42,0.290994448735806,0.142857142857143,1,0,0,7,0.01,0,0
18325,43,0.0954451150103322,0.142857142857143,1,0,0,7,0.01,0,0
18326,44,0,0.142857142857143,0,0,0,7,0.01,0,0
18327,45,-0.0871290708247231,0.142857142857143,0,0,0,7,0.01,0,0
18328,46,-0.225403330758517,0.142857142857143,0,0,0,7,0.01,0,0
18329,47,0,0.285714285714286,0,0,0,7,0.01,0,0
18330,48,2.95811402901264,0.714285714285714,1,0.142857142857143,0,7,0.01,0.0285714285714286,0
18331,49,0.630820182633605,1,1,0.25,0,7,0.01,0.0555555555555556,0
18332,50,0.353513945255091,1.28571428571429,1,0.333333333333333,0,7,0.01,0.0810810810810811,0
18333,51,0.118228412538644,1.28571428571429,1,0.4,0,8,0.01,0.105263157894737,0
18334,52,0.457380971794016,2.28571428571429,1,0.454545454545455,0,10,0.01,0.128205128205128,0
18335,53,0.545949995944691,3.57142857142857,1,0.5,0,12,0.01,0.15,0
18336,54,0.26481527254663,4,1,0.538461538461539,0,12,0.01,0.170731707317073,0
18337,55,0.119021464549133,4,1,0.571428571428572,0,12,0.01,0.19047619047619,0
18338,56,0.240013874358731,5.85714285714286,1,0.6,0,12,0.01,0.209302325581395,0
18339,57,0.375357550460385,8.71428571428571,1,0.625,0,12,0.01,0.227272727272727,0
18340,58,0.291188321976935,10.8571428571429,1,0.647058823529412,0,12,0.01,0.244444444444444,0
18341,59,0.252463444657105,13.4285714285714,1,0.666666666666667,0,12,0.01,0.260869565217391,0
18342,60,0.132902886223861,14,1,0.684210526315789,0,12,0.01,0.276595744680851,0
18343,61,0.102203311297417,15.5714285714286,1,0.7,0,12,0.01,0.291666666666667,0
18344,62,0.189666663405684,20.8571428571429,1,0.714285714285714,0,12,0.01,0.306122448979592,0
